"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"MN","5","D","M","E000288","20727",53,-1.49136543369947,-1.72000886305253,-1.30139323889017,"Ellison (D MN-5)",23,"Keith","Ellison"
"MD","3","D","M","S001168","20724",34,-1.4638871173602,-1.67183217066538,-1.26810048950128,"Sarbanes (D MD-3)",24,"John","Sarbanes"
"NJ","10","D","M","P000604", ,43,-1.41401215701573,-1.5938201234651,-1.22583783806255,"Payne Jr. (D NJ-10)",25,"Donald","Payne Jr."
"CA","12","D","F","P000197","15448",112,-1.40735906926246,-1.61609472967953,-1.21014823079325,"Pelosi (D CA-12)",26,"Nancy","Pelosi"
"WI","4","D","F","M001160","20537",44,-1.40336342062453,-1.61436988670605,-1.22254784151251,"Moore (D WI-4)",27,"Gwen","Moore"
"MD","7","D","M","C000984","29587",32,-1.40312559693183,-1.60756128214914,-1.201405338439,"Cummings (D MD-7)",28,"Elijah","Cummings"
"FL","24","D","F","W000808", ,30,-1.39822977966744,-1.59900418550671,-1.21633539121517,"Wilson (D FL-24)",29,"Frederica","Wilson"
"NY","8","D","M","J000294", ,33,-1.38506921870174,-1.57803410551616,-1.19333905050528,"Jeffries (D NY-8)",30,"Hakeem","Jeffries"
"FL","20","D","M","H000324","29337",109,-1.37858934839712,-1.58734279774271,-1.20602310195897,"Hastings (D FL-20)",31,"Alcee","Hastings"
"CA","33","D","M","W000215","14280",80,-1.37856595574223,-1.55940545242554,-1.16951764543959,"Waxman (D CA-33)",32,"Henry","Waxman"
"ME","1","D","F","P000597", ,39,-1.36355182951231,-1.56189333782163,-1.18351354855395,"Pingree (D ME-1)",33,"Chellie","Pingree"
"CA","32","D","F","N000179","29903",46,-1.36034570709135,-1.55841346616339,-1.18198771463767,"Napolitano (D CA-32)",34,"Grace","Napolitano"
"CA","38","D","F","S001156","20310",34,-1.34611475112111,-1.52286709931134,-1.16123052831545,"Sanchez (D CA-38)",35,"Linda","Sanchez"
"MA","1","D","M","N000015","15616",73,-1.33750341764771,-1.52372928225647,-1.15151253381152,"Neal (D MA-1)",36,"Richard","Neal"
"CA","43","D","F","W000187","29106",86,-1.32715157478097,-1.53246943226226,-1.14976097811613,"Waters (D CA-43)",37,"Maxine","Waters"
"CA","6","D","F","M001163","20538",28,-1.32282405257465,-1.49849094292922,-1.1373545761103,"Matsui (D CA-6)",38,"Doris","Matsui"
"NY","14","D","M","C001038","29925",31,-1.3209355644406,-1.50079992612157,-1.14656567899973,"Crowley (D NY-14)",39,"Joseph","Crowley"
"MA","4","D","M","K000379", ,23,-1.31272499562563,-1.49559666822111,-1.13758827580907,"Kennedy III (D MA-4)",40,"Joseph","Kennedy III"
"AZ","3","D","M","G000551","20305",115,-1.30162082819797,-1.46198539634544,-1.131423852399,"Grijalva (D AZ-3)",41,"Raúl","Grijalva"
"CA","41","D","M","T000472", ,6,-1.29723913038001,-1.47447031055357,-1.13862170625496,"Takano (D CA-41)",42,"Mark","Takano"
"RI","1","D","M","C001084", ,31,-1.2970533581454,-1.47328610725539,-1.14096827509816,"Cicilline (D RI-1)",43,"David","Cicilline"
"CO","1","D","F","D000197","29710",69,-1.29435030246092,-1.46290555647183,-1.09702086151418,"DeGette (D CO-1)",44,"Diana","DeGette"
"CA","11","D","M","M000725","14256",105,-1.28951977904049,-1.46366440574801,-1.11506062931282,"Miller (D CA-11)",45,"George","Miller"
"CA","20","D","M","F000030","29313",46,-1.28853054182521,-1.46126012236605,-1.12337995584147,"Farr (D CA-20)",46,"Sam","Farr"
"CA","14","D","F","S001175", ,89,-1.28086138067516,-1.4563104043303,-1.10776309601641,"Speier (D CA-14)",47,"Jackie","Speier"
